time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_14,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,day_of_week,month_of_year,movement
2023-08-25,178.0,179.13,175.82,178.53,22334,1,0,186.4904,162.05110000000002,182.335242650724,169.27532040964934,178.03709357043664,180.78659566918355,181.1205,194.6017973782195,167.63920262178056,174.5798957055948,177.25583333333336,179.93177096107192,-2.9747744503457625,-3.0106346522483123,43.42,56.7645021213454,44.11091938171435,176.44,1.1845386533665847,-2.5731639977912724,4,8,up
2023-08-28,180.0,180.58,178.56,180.04,16488,1,0,186.4208,162.25685,182.24523313500933,169.38243164935432,178.43767485634933,180.71872333562135,180.321,191.93837646803215,168.70362353196782,174.525830380148,177.4358333333333,180.34583628651868,-2.644193007015417,-2.9373463232017336,46.69,65.21896489323198,54.81546165257343,178.53,0.845796224724138,1.1845386533665847,0,8,up
2023-08-29,180.06,184.89,179.98,183.99,14292,1,0,186.3798,162.4778,182.31365536500897,169.5277805881667,179.54813988507948,181.01611212329212,179.7335,189.1529485507373,170.31405144926265,173.95297931299257,177.94083333333333,181.9286873536741,-2.039957482958698,-2.757868555153127,54.16,81.28862747267699,67.75736482908479,180.04,2.19395689846702,0.845796224724138,1,8,up
2023-08-30,185.4,187.77,184.77,187.44,15712,1,0,186.4326,162.7404,182.5146884879498,169.70601162709045,181.1265119080636,181.6001019302656,179.4715,187.64506048487976,171.29793951512022,173.03324884064648,178.64583333333334,184.2584178260202,-1.2680925284076352,-2.4599133498040286,59.5,91.47014808461226,79.32591348350708,183.99,1.875101907712362,2.19395689846702,2,8,up
2023-08-31,188.15,189.11,187.48,188.36,12513,1,0,186.496,162.95005,182.74391639038316,169.89162345169652,182.57320952645085,182.21463811842324,179.318,186.66053253312427,171.97546746687576,172.71160987174596,179.56500000000003,186.4183901282541,-0.5755135181079822,-2.08303338346482,60.81,95.40916084345474,89.38931213358133,187.44,0.490823730260348,1.875101907712362,3,8,up
2023-09-01,189.03,189.48,188.27,189.39,15284,1,0,186.6014,163.1483,183.00454712017205,170.08563714869456,183.9365676211607,182.8669437440211,179.675,188.15867255379345,171.1913274462066,172.80785984767817,180.62083333333337,188.4338068189886,0.0558291653815956,-1.6552608736955363,62.28,97.6227687615992,94.83402589655542,188.36,0.5468252282862407,0.490823730260348,4,9,up
2023-09-05,187.71,189.97,187.6,189.76,14797,1,0,186.6594,163.354,183.2694668409496,170.28140195318517,185.10125409692856,183.49358522183735,180.2135,189.7560557897236,170.67094421027642,173.73572504376406,181.8825,190.029274956236,0.579350308681029,-1.2083386372202234,62.82,97.93837859793445,96.99010273432944,189.39,0.1953640635725229,0.5468252282862407,1,9,down
2023-09-06,187.85,187.89,181.47,182.7,16844,1,0,186.5812,163.5187,183.2471348079712,170.40497009295447,184.62100327754283,183.42144111076124,180.35,189.9526308895004,170.7473691104996,175.1749198965797,182.5775,189.98008010342036,0.4197232806828026,-0.8827262536396182,48.54,85.69053018032606,93.75055917995324,189.76,-3.7204890387858343,0.1953640635725229,2,9,down
2023-09-07,175.15,178.2,174.95,178.01,18492,1,0,186.4312,163.66305,183.04175697236445,170.4806420323281,183.2988026220343,182.92949191887385,180.338,189.95169148662404,170.724308513376,175.64669311785812,182.7483333333333,189.84997354880852,-0.0842548555628752,-0.7230319740242697,41.75,63.26530612244892,82.2980716335698,182.7,-2.5670498084291227,-3.7204890387858343,3,9,down
2023-09-08,179.26,180.22,177.79,177.97,17083,1,0,186.2288,163.8021,182.8428645420757,170.5551630071308,182.23304209762745,182.47862901715808,180.3425,189.9516682782636,170.7333317217364,175.8126100096922,182.8108333333333,189.8090566569745,-0.4813402346093767,-0.674693626141291,41.7,39.031589647353165,62.66247531670938,178.01,-0.0224706477164104,-2.5670498084291227,4,9,up
